outfitter developer
	#================================Imperium
	"Mac Cannon"
	"Pyros Melta Cannon"
	"Disruption Mac Cannon"
	"Lathe Pattern Grav-culverin"
	"Triple Mac Turret"
	"Heavy Mac Cannon"
	"Triple Heavy Mac Turret"
	"Heavy Mac Array L"
	"Heavy Mac Array R"
	"Heavy Pyros Melta Array L"
	"Heavy Pyros Melta Array R"
	"Mars-Pattern Nova Cannon"
	"Ryza-Pattern Nova Cannon"
	"Graviton Pulsar"
	"Graviton Pulsar Turret"
	"Lance Cannon"
	"Triple Las-burner Turret"
	"Medium Lance Cannon"
	"Heavy Lance Cannon"
	"Triple Med Lance Turret"
	"Quad Med Lance Turret"
	"Lascannon"
	"Multi-Las"
	"Lascannon Turret"
	"Multi-Las Turret"
	"Boarding Torpedo"
	"Boarding Torpedo Launcher"
	"Imperium Plasma Torpedo"
	"Plasma Torpedo Tube"
	"Imperium Melta Torpedo"
	"Melta Torpedo Tube"
	"Imperium Guided Torpedo"
	"Guided Torpedo Tube"
	"Imperium Seeking Torpedo"
	"Seeking Torpedo Tube"
	"Imperium Shortburn Torpedo"
	"Shortburn Torpedo Tube"
	"Imperium Vortex Torpedo"
	"Vortex Torpedo Tube"
	"Imperium CIWS Turret"
	"Imperium Flak Turret"
	"Light Field Braces"
	"Medium Field Braces"
	"Heavy Field Braces"
	"Super Heavy Field Braces"
	"Fighter Void Shield"
	"Light Void Shield"
	"Medium Void Shield"
	"Heavy Void Shield"
	"Super Heavy Void Shield"
	"Reflex Shield"
	"Fighter Plasma Core"
	"Small Plasma Core"
	"Medium Plasma Core"
	"Small Plasma Storage"
	"Fighter Plasma Drive"
	"Small Plasma Drive"
	"Medium Plasma Drive"
	"Large Plasma Drive"
	"Warp-Drive"
	"Las Rifle"
	"Imperium Plasma Gun"
	"Ultramarines"
	#================================Xenos
	#======================Tau
	"Tau Burst Cannon"
	"Tau Railgun"
	"Tau Railgun Battery"
	"Tau Gravetic Launcher"
	"Tau Ion Battery"
	"Tau Small Deflector Shield"
	"Tau Medium Deflector Shield"
	"Gravitic Drive"
	
shipyard developer
	"Storm-Class"
	"Dauntless-Class"
	"Lunar-Class"
	"Dominator-Class"
	"Gothic-Class"
	"Dictator-Class"
	"Retribution-Class"
	"Imperium Fury"
	"Il'Porrui Class"
	"Kir'shasvre Class"
	
	
shipyard "Imperium Basic"
	"Storm-Class"
	"Dauntless-Class"
	"Lunar-Class"
	"Dominator-Class"
	"Gothic-Class"
	"Dictator-Class"
	"Imperium Fury"
	
shipyard "Forge World Advanced"
	"Retribution-Class"
	
outfitter "Imperium Basic"
	"Mac Cannon"
	"Lance Cannon"
	"Triple Las-burner Turret"
	"Medium Lance Cannon"
	"Lascannon"
	"Multi-Las"
	"Lascannon Turret"
	"Multi-Las Turret"
	"Imperium Plasma Torpedo"
	"Plasma Torpedo Tube"
	"Imperium Melta Torpedo"
	"Melta Torpedo Tube"
	"Imperium CIWS Turret"
	"Imperium Flak Turret"
	"Fighter Void Shield"
	"Light Void Shield"
	"Fighter Plasma Core"
	"Small Plasma Core"
	"Medium Plasma Core"
	"Small Plasma Storage"
	"Fighter Plasma Drive"
	"Small Plasma Drive"
	"Medium Plasma Drive"
	"Warp-Drive"
	"Las Rifle"
	"Imperium Plasma Gun"

outfitter "Forge World Basic"
	"Mac Cannon"
	"Pyros Melta Cannon"
	"Disruption Mac Cannon"
	"Heavy Mac Cannon"
	"Heavy Mac Array L"
	"Heavy Mac Array R"
	"Heavy Pyros Melta Array L"
	"Heavy Pyros Melta Array R"
	"Mars-Pattern Nova Cannon"
	"Lance Cannon"
	"Triple Las-burner Turret"
	"Medium Lance Cannon"
	"Heavy Lance Cannon"
	"Triple Med Lance Turret"
	"Lascannon"
	"Multi-Las"
	"Lascannon Turret"
	"Multi-Las Turret"
	"Boarding Torpedo"
	"Boarding Torpedo Launcher"
	"Imperium Plasma Torpedo"
	"Plasma Torpedo Tube"
	"Imperium Melta Torpedo"
	"Melta Torpedo Tube"
	"Imperium Guided Torpedo"
	"Guided Torpedo Tube"
	"Imperium Seeking Torpedo"
	"Seeking Torpedo Tube"
	"Imperium Shortburn Torpedo"
	"Shortburn Torpedo Tube"
	"Imperium CIWS Turret"
	"Imperium Flak Turret"
	"Light Field Braces"
	"Medium Field Braces"
	"Heavy Field Braces"
	"Fighter Void Shield"
	"Light Void Shield"
	"Medium Void Shield"
	"Heavy Void Shield"
	"Fighter Plasma Core"
	"Small Plasma Core"
	"Medium Plasma Core"
	"Small Plasma Storage"
	"Fighter Plasma Drive"
	"Small Plasma Drive"
	"Medium Plasma Drive"
	"Large Plasma Drive"
	"Warp-Drive"
	"Las Rifle"
	"Imperium Plasma Gun"
	
outfitter "Forge World Advanced"
	"Mac Cannon"
	"Pyros Melta Cannon"
	"Disruption Mac Cannon"
	"Lathe Pattern Grav-culverin"
	"Triple Mac Turret"
	"Heavy Mac Cannon"
	"Triple Heavy Mac Turret"
	"Heavy Mac Array L"
	"Heavy Mac Array R"
	"Heavy Pyros Melta Array L"
	"Heavy Pyros Melta Array R"
	"Mars-Pattern Nova Cannon"
	"Ryza-Pattern Nova Cannon"
	"Graviton Pulsar"
	"Graviton Pulsar Turret"
	"Lance Cannon"
	"Triple Las-burner Turret"
	"Medium Lance Cannon"
	"Heavy Lance Cannon"
	"Triple Med Lance Turret"
	"Quad Med Lance Turret"
	"Lascannon"
	"Multi-Las"
	"Lascannon Turret"
	"Multi-Las Turret"
	"Boarding Torpedo"
	"Boarding Torpedo Launcher"
	"Imperium Plasma Torpedo"
	"Plasma Torpedo Tube"
	"Imperium Melta Torpedo"
	"Melta Torpedo Tube"
	"Imperium Guided Torpedo"
	"Guided Torpedo Tube"
	"Imperium Seeking Torpedo"
	"Seeking Torpedo Tube"
	"Imperium Shortburn Torpedo"
	"Shortburn Torpedo Tube"
	"Imperium Vortex Torpedo"
	"Vortex Torpedo Tube"
	"Imperium CIWS Turret"
	"Imperium Flak Turret"
	"Light Field Braces"
	"Medium Field Braces"
	"Heavy Field Braces"
	"Super Heavy Field Braces"
	"Fighter Void Shield"
	"Light Void Shield"
	"Medium Void Shield"
	"Heavy Void Shield"
	"Super Heavy Void Shield"
	"Reflex Shield"
	"Fighter Plasma Core"
	"Small Plasma Core"
	"Medium Plasma Core"
	"Small Plasma Storage"
	"Fighter Plasma Drive"
	"Small Plasma Drive"
	"Medium Plasma Drive"
	"Large Plasma Drive"
	"Warp-Drive"
	"Las Rifle"
	"Imperium Plasma Gun"
